Shrew_ID,Species,Site,Transect,Zone,Season,Date,Time,Sex,Weight_(g),Total_Length,Head_Length,Body_Length,Front_Limb_Length,Rear_Limb_Length
S65,GWTS,IE13B,South,Edge,Winter,05/04/2018,M,13:00,13,120.8,27.3,48.3,25.6,28.2
S66,GWTS,IE13B,South,Edge,Winter,05/04/2018,M,13:00,13.6,123.5,23.2,54.5,25.9,28.3
S67,Pygmy,IE13B,South,Edge,Winter,05/04/2018,M,16:45,4.8,99.6,21.4,39.4,19.7,24.7
S68,Pygmy,IE13B,South,Edge,Winter,05/04/2018,M,18:00,4.9,96.3,20.4,36.3,19.8,24.5
S69,Pygmy,IE13B,South,Edge,Winter,05/04/2018,F,18:00,3.8,102,20.8,36.1,15.8,23.2
S70,Pygmy,IE13B,South,Edge,Winter,05/04/2018,M,18:00,5,89.1,20.5,39.2,19.5,24.7
S71,GWTS,IE13B,South,Edge,Winter,05/04/2018,F,18:00,12.8,122,27.3,51.6,23.5,29.1
S72,GWTS,IE13B,South,Edge,Winter,05/04/2018,F,18:00,13.6,125.2,25.5,52.1,25.2,29.5
E56,Pygmy,IE29,West,Outside,Winter,20/02/2018,Unknown,12:00,3,89.4,19.8,37,18.5,24.4
E57,Pygmy,IE29,West,Outside,Winter,20/02/2018,M,14:00,2.7,90.5,18.6,36.1,17.1,23.5
W11,Pygmy,IE29,West,Outside,Summer,22/08/2017,Unknown,13:00,3.7,93.4,17.8,36.5,16,21.5
W12,Pygmy,IE29,West,Outside,Summer,22/08/2017,Unknown,15:00,3.3,89,19.1,31.7,15,22.5
W13,Pygmy,IE29,West,Outside,Summer,22/08/2017,Unknown,17:00,3.4,92,19.1,36.5,15.8,19
W15,Pygmy,IE30,West,Outside,Summer,23/08/2017,Unknown,14:00,3.2,90.2,19.5,34.5,16.7,22
W16,Pygmy,IE30,West,Outside,Summer,23/08/2017,Unknown,16:00,3.2,80,20.5,22,13.4,21.6
W17,Pygmy,IE30,West,Outside,Summer,23/08/2017,Unknown,16:00,3.5,80.5,21.2,25,15.8,22
W79,Pygmy,IE31B,West,Outside,Winter,23/02/2018,M,11:15,2.9,92.7,20.1,34.9,18.4,23.8
W80,Pygmy,IE31B,West,Outside,Winter,23/02/2018,M,12:45,2.9,94.1,20.2,34,19.3,23.8
