Species,Location,Bodypart,Measure,Zone
GWTS,Ireland,Rearleg,26,Inside
GWTS,Ireland,Rearleg,23.5,Inside
GWTS,Ireland,Rearleg,27,Inside
Pygmy,Ireland,Rearleg,21.5,Outside
Pygmy,Ireland,Rearleg,22.5,Outside
Pygmy,Ireland,Rearleg,19,Outside
Pygmy,Ireland,Rearleg,19.5,Outside
Pygmy,Ireland,Rearleg,22,Outside
Pygmy,Ireland,Rearleg,21.6,Outside
Pygmy,Ireland,Rearleg,22,Outside
Pygmy,Ireland,Rearleg,21.5,Outside
GWTS,Ireland,Rearleg,27,Edge
GWTS,Ireland,Rearleg,27,Edge
Pygmy,Ireland,Rearleg,21.4,Edge
GWTS,Ireland,Rearleg,26.6,Edge
GWTS,Ireland,Rearleg,29.6,Edge
Pygmy,Ireland,Rearleg,22,Edge
GWTS,Ireland,Rearleg,28.4,Edge
GWTS,Ireland,Rearleg,27,Edge
GWTS,Ireland,Rearleg,26.5,Edge
Pygmy,Ireland,Rearleg,2.2,Edge
GWTS,Ireland,Rearleg,28.5,Edge
GWTS,Ireland,Rearleg,26.3,Edge
GWTS,Ireland,Rearleg,26.2,Edge
Pygmy,Ireland,Rearleg,21.3,Edge
Pygmy,Ireland,Rearleg,24,Edge
Pygmy,Ireland,Rearleg,22,Edge
Pygmy,Ireland,Rearleg,22.9,Edge
Pygmy,Ireland,Rearleg,22.4,Edge
Pygmy,Ireland,Rearleg,22.6,Outside
Pygmy,Ireland,Rearleg,23.4,Outside
Pygmy,Ireland,Rearleg,24.5,Edge
Pygmy,Ireland,Rearleg,25.1,Edge
Pygmy,Ireland,Rearleg,25.4,Edge
GWTS,Ireland,Rearleg,28.5,Edge
Pygmy,Ireland,Rearleg,24,Edge
GWTS,Ireland,Rearleg,29.3,Edge
GWTS,Ireland,Rearleg,28.4,Edge
GWTS,Ireland,Rearleg,29.4,Edge
GWTS,Ireland,Rearleg,27.3,Edge
GWTS,Ireland,Rearleg,27,Edge
GWTS,Ireland,Rearleg,29.4,Edge
Pygmy,Ireland,Rearleg,24.1,Edge
Pygmy,Ireland,Rearleg,22.7,Edge
GWTS,Ireland,Rearleg,27.3,Edge
GWTS,Ireland,Rearleg,27.3,Edge
Pygmy,Ireland,Rearleg,24.6,Edge
GWTS,Ireland,Rearleg,29.5,Edge
GWTS,Ireland,Rearleg,29.7,Edge
Pygmy,Ireland,Rearleg,24.8,Edge
Pygmy,Ireland,Rearleg,23.5,Edge
Pygmy,Ireland,Rearleg,23.8,Outside
Pygmy,Ireland,Rearleg,23.8,Outside
