Sample,shrew_zone,shrew_tran,Shrew,Transect,Zone,Season,Control,Trap_Site,Date,Sex,Time,Weight
E75,GWTS_Inside,GWTS_East,GWTS,East,Inside,Winter,No,IE41,08/03/2018,F,13:00,9.6
E76,GWTS_Inside,GWTS_East,GWTS,East,Inside,Winter,No,IE41,08/03/2018,M,14:30,10.3
E77,GWTS_Inside,GWTS_East,GWTS,East,Inside,Winter,No,IE41,08/03/2018,M,15:30,9.5
E78,GWTS_Inside,GWTS_East,GWTS,East,Inside,Winter,No,IE41,08/03/2018,Unknown,15:30,9.8
E79,Pygmy_Outside,Pygmy_East,Pygmy,East,Outside,Winter,No,IE46,09/03/2018,Unknown,11:45,3
E80,Pygmy_Outside,Pygmy_East,Pygmy,East,Outside,Winter,No,IE46,09/03/2018,M,11:45,2.9
E81,Pygmy_Outside,Pygmy_East,Pygmy,East,Outside,Winter,No,IE46,09/03/2018,M,16:00,2.8
E82,Pygmy_Outside,Pygmy_East,Pygmy,East,Outside,Winter,No,IE46,09/03/2018,F,16:00,3.1
E83,GWTS_Edge,GWTS_East,GWTS,East,Edge,Winter,No,IE53,10/03/2018,M,15:40,12
E84,GWTS_Edge,GWTS_East,GWTS,East,Edge,Winter,No,IE53,10/03/2018,F,15:40,10.2
E85,GWTS_Edge,GWTS_East,GWTS,East,Edge,Winter,No,IE53,10/03/2018,F,15:40,11
E86,Pygmy_Edge,Pygmy_East,Pygmy,East,Edge,Winter,No,IE53,11/03/2018,F,16:00,3
EXTR_BLNK1,Blank,Blank,ExtBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
EXTR_BLNK2,Blank,Blank,ExtBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
EXTR_BLNK3,Blank,Blank,ExtBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
EXTR_BLNK4,Blank,Blank,ExtBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
EXTR_BLNK5,Blank,Blank,ExtBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
FR01,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,No,FR01,10/10/2017,unknown,16:00,3.6
FR02,GWTS_France,GWTS_France,GWTS,France,France,Summer,No,FR01,10/10/2017,unknown,16:00,9.9
FR03,GWTS_France,GWTS_France,GWTS,France,France,Summer,No,FR01,10/10/2017,unknown,16:00,9.8
FR04,GWTS_France,GWTS_France,GWTS,France,France,Summer,No,FR02,10/10/2017,unknown,16:45,8.3
FR05,GWTS_France,GWTS_France,GWTS,France,France,Summer,No,FR02,10/10/2017,unknown,16:45,8.2
FR06,GWTS_France,GWTS_France,GWTS,France,France,Summer,No,FR02,10/10/2017,unknown,17:00,8.5
FR07,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,No,FR01,10/10/2017,unknown,18:00,3.8
FR08,GWTS_France,GWTS_France,GWTS,France,France,Summer,No,FR01,10/10/2017,unknown,18:00,8.4
FR09,GWTS_France,GWTS_France,GWTS,France,France,Summer,No,FR01,10/10/2017,unknown,18:00,8.8
FR10,GWTS_France,GWTS_France,GWTS,France,France,Summer,No,FR01,11/10/2017,unknown,11:00,9.3
